start,end,file
0.000,0.068,001.mp3
0.068,0.669,002.mp3
0.669,1.269,003.mp3
1.269,1.870,004.mp3
1.870,2.471,005.mp3
2.471,3.071,006.mp3
3.071,3.672,007.mp3
3.672,4.272,008.mp3
4.272,4.873,009.mp3
4.873,5.473,010.mp3
5.473,6.074,011.mp3
6.074,6.674,012.mp3
6.674,7.275,013.mp3
7.275,7.875,014.mp3
7.875,8.476,015.mp3
8.476,9.076,016.mp3
9.076,9.677,017.mp3
9.677,10.277,018.mp3
10.277,10.878,019.mp3
10.878,11.479,020.mp3
11.479,12.079,021.mp3
12.079,12.680,022.mp3
12.680,13.280,023.mp3
13.280,13.881,024.mp3
13.881,14.481,025.mp3
14.481,15.082,026.mp3
15.082,15.682,027.mp3
15.682,16.283,028.mp3
16.283,16.883,029.mp3
16.883,17.484,030.mp3
17.484,18.084,031.mp3
18.084,18.685,032.mp3
18.685,19.286,033.mp3
19.286,19.886,034.mp3
19.886,20.487,035.mp3
20.487,21.087,036.mp3
21.087,21.688,037.mp3
21.688,22.288,038.mp3
22.288,22.889,039.mp3
22.889,23.489,040.mp3
23.489,24.090,041.mp3
24.090,24.690,042.mp3
24.690,25.291,043.mp3
25.291,25.891,044.mp3
25.891,26.492,045.mp3
26.492,27.092,046.mp3
27.092,27.693,047.mp3
27.693,28.294,048.mp3
28.294,28.894,049.mp3
28.894,29.495,050.mp3
29.495,30.095,051.mp3
30.095,30.696,052.mp3
30.696,31.296,053.mp3
31.296,31.897,054.mp3
31.897,32.497,055.mp3
32.497,33.098,056.mp3
33.098,33.698,057.mp3
33.698,34.299,058.mp3
34.299,34.899,059.mp3
34.899,35.500,060.mp3
35.500,36.100,061.mp3
36.100,36.701,062.mp3
36.701,37.302,063.mp3
37.302,37.902,064.mp3
37.902,38.503,065.mp3
38.503,39.103,066.mp3
39.103,39.704,067.mp3
39.704,40.304,068.mp3
40.304,40.905,069.mp3
40.905,41.505,070.mp3
41.505,42.106,071.mp3
42.106,42.706,072.mp3
42.706,43.307,073.mp3
43.307,43.907,074.mp3
43.907,44.508,075.mp3
44.508,45.109,076.mp3
45.109,45.709,077.mp3
45.709,46.310,078.mp3
46.310,46.910,079.mp3
46.910,47.511,080.mp3
47.511,48.111,081.mp3
48.111,48.712,082.mp3
48.712,49.312,083.mp3
49.312,49.913,084.mp3
49.913,50.513,085.mp3
50.513,51.114,086.mp3
51.114,51.714,087.mp3
51.714,52.315,088.mp3
52.315,52.915,089.mp3
52.915,53.516,090.mp3
53.516,54.117,091.mp3
54.117,54.717,092.mp3
54.717,55.318,093.mp3
55.318,55.918,094.mp3
55.918,56.519,095.mp3
56.519,57.119,096.mp3
57.119,57.720,097.mp3
57.720,58.320,098.mp3
58.320,58.921,099.mp3
58.921,59.521,100.mp3
59.521,60.122,101.mp3
60.122,60.722,102.mp3
60.722,61.323,103.mp3
61.323,61.924,104.mp3
61.924,62.524,105.mp3
62.524,63.125,106.mp3
63.125,63.725,107.mp3
63.725,64.326,108.mp3
64.326,64.926,109.mp3
64.926,65.527,110.mp3
65.527,66.127,111.mp3
66.127,66.728,112.mp3
66.728,67.328,113.mp3
67.328,67.929,114.mp3
67.929,68.529,115.mp3
